timestamp,binId,fillLevel
2026-09-08T17:00:00+07:00,BIN01,16
2026-09-08T17:00:00+07:00,BIN02,29
2026-09-08T17:00:00+07:00,BIN03,23
2026-09-08T17:00:00+07:00,BIN04,21
2026-09-08T18:00:00+07:00,BIN01,20
2026-09-08T18:00:00+07:00,BIN02,42
2026-09-08T18:00:00+07:00,BIN03,25
2026-09-08T18:00:00+07:00,BIN04,21
2026-09-08T19:00:00+07:00,BIN01,21
2026-09-08T19:00:00+07:00,BIN02,56
2026-09-08T19:00:00+07:00,BIN03,28
2026-09-08T19:00:00+07:00,BIN04,11
2026-09-08T20:00:00+07:00,BIN01,8
2026-09-08T20:00:00+07:00,BIN02,61
2026-09-08T20:00:00+07:00,BIN03,31
2026-09-08T20:00:00+07:00,BIN04,12
2026-09-08T21:00:00+07:00,BIN01,8
2026-09-08T21:00:00+07:00,BIN02,8
2026-09-08T21:00:00+07:00,BIN03,33
2026-09-08T21:00:00+07:00,BIN04,13
2026-09-08T22:00:00+07:00,BIN01,8
2026-09-08T22:00:00+07:00,BIN02,8
2026-09-08T22:00:00+07:00,BIN03,33
2026-09-08T22:00:00+07:00,BIN04,13
2026-09-08T23:00:00+07:00,BIN01,8
2026-09-08T23:00:00+07:00,BIN02,8
2026-09-08T23:00:00+07:00,BIN03,33
2026-09-08T23:00:00+07:00,BIN04,13
2026-09-09T00:00:00+07:00,BIN01,8
2026-09-09T00:00:00+07:00,BIN02,8
2026-09-09T00:00:00+07:00,BIN03,33
2026-09-09T00:00:00+07:00,BIN04,13
2026-09-09T01:00:00+07:00,BIN01,9
2026-09-09T01:00:00+07:00,BIN02,8
2026-09-09T01:00:00+07:00,BIN03,33
2026-09-09T01:00:00+07:00,BIN04,14
2026-09-09T02:00:00+07:00,BIN01,9
2026-09-09T02:00:00+07:00,BIN02,8
2026-09-09T02:00:00+07:00,BIN03,33
2026-09-09T02:00:00+07:00,BIN04,15
2026-09-09T03:00:00+07:00,BIN01,9
2026-09-09T03:00:00+07:00,BIN02,8
2026-09-09T03:00:00+07:00,BIN03,33
2026-09-09T03:00:00+07:00,BIN04,16
2026-09-09T04:00:00+07:00,BIN01,9
2026-09-09T04:00:00+07:00,BIN02,8
2026-09-09T04:00:00+07:00,BIN03,33
2026-09-09T04:00:00+07:00,BIN04,17
2026-09-09T05:00:00+07:00,BIN01,9
2026-09-09T05:00:00+07:00,BIN02,8
2026-09-09T05:00:00+07:00,BIN03,33
2026-09-09T05:00:00+07:00,BIN04,18
2026-09-09T06:00:00+07:00,BIN01,9
2026-09-09T06:00:00+07:00,BIN02,8
2026-09-09T06:00:00+07:00,BIN03,34
2026-09-09T06:00:00+07:00,BIN04,18
2026-09-09T07:00:00+07:00,BIN01,9
2026-09-09T07:00:00+07:00,BIN02,13
2026-09-09T07:00:00+07:00,BIN03,37
2026-09-09T07:00:00+07:00,BIN04,18
2026-09-09T08:00:00+07:00,BIN01,13
2026-09-09T08:00:00+07:00,BIN02,15
2026-09-09T08:00:00+07:00,BIN03,40
2026-09-09T08:00:00+07:00,BIN04,28
2026-09-09T09:00:00+07:00,BIN01,16
2026-09-09T09:00:00+07:00,BIN02,19
2026-09-09T09:00:00+07:00,BIN03,42
2026-09-09T09:00:00+07:00,BIN04,39
2026-09-09T10:00:00+07:00,BIN01,20
2026-09-09T10:00:00+07:00,BIN02,24
2026-09-09T10:00:00+07:00,BIN03,45
2026-09-09T10:00:00+07:00,BIN04,48
2026-09-09T11:00:00+07:00,BIN01,25
2026-09-09T11:00:00+07:00,BIN02,34
2026-09-09T11:00:00+07:00,BIN03,47
2026-09-09T11:00:00+07:00,BIN04,58
2026-09-09T12:00:00+07:00,BIN01,27
2026-09-09T12:00:00+07:00,BIN02,45
2026-09-09T12:00:00+07:00,BIN03,48
2026-09-09T12:00:00+07:00,BIN04,64
2026-09-09T13:00:00+07:00,BIN01,31
2026-09-09T13:00:00+07:00,BIN02,56
2026-09-09T13:00:00+07:00,BIN03,49
2026-09-09T13:00:00+07:00,BIN04,76
2026-09-09T14:00:00+07:00,BIN01,33
2026-09-09T14:00:00+07:00,BIN02,66
2026-09-09T14:00:00+07:00,BIN03,51
2026-09-09T14:00:00+07:00,BIN04,85
2026-09-09T15:00:00+07:00,BIN01,37
2026-09-09T15:00:00+07:00,BIN02,9
2026-09-09T15:00:00+07:00,BIN03,52
2026-09-09T15:00:00+07:00,BIN04,94
2026-09-09T16:00:00+07:00,BIN01,42
2026-09-09T16:00:00+07:00,BIN02,12
2026-09-09T16:00:00+07:00,BIN03,54
2026-09-09T16:00:00+07:00,BIN04,98
2026-09-09T17:00:00+07:00,BIN01,46
2026-09-09T17:00:00+07:00,BIN02,26
2026-09-09T17:00:00+07:00,BIN03,14
2026-09-09T17:00:00+07:00,BIN04,98
2026-09-09T18:00:00+07:00,BIN01,48
2026-09-09T18:00:00+07:00,BIN02,36
2026-09-09T18:00:00+07:00,BIN03,16
2026-09-09T18:00:00+07:00,BIN04,98
2026-09-09T19:00:00+07:00,BIN01,48
2026-09-09T19:00:00+07:00,BIN02,45
2026-09-09T19:00:00+07:00,BIN03,17
2026-09-09T19:00:00+07:00,BIN04,14
